unique_id|name|age|relation|money|mood|nature|profession|location|favor_tags|hate_tags|description
A1B2C3|Emma Thorne|34|8|12500|Happy|Optimistic|Friend|10101|jewelry, books, ale|dirty, loud, spicy|Warm and welcoming innkeeper's daughter who loves sharing stories with travelers. Always finds the bright side even in fog-shrouded times.
A1B2C4|Marcus Blackwood|45|5|8900|Tired|Pragmatic|Innkeeper|10101|coin, stories, travelers|thieves, troublemakers, debts|Runs the inn with firm efficiency. Exhausted from years of managing rowdy guests but keeps a tight ship and fair prices.
A1B2C5|Sofia Redcloak|28|9|15200|Excited|Passionate|Barmaid|10101|fashion, music, gossip|boring, cheapskates, rude_customers|Energetic barmaid who dreams of performing in noble courts. Thrives on gossip and bringing life to the common room nightly.
B1C2D3|Robert Greystone|67|3|45000|Grumpy|Stubborn|Merchant|10102|tools, vintage, quiet|modern, loud, young_folk|Wealthy retired merchant who rents rooms grudgingly. Resents change and young people but values quality craftsmanship from bygone eras.
B1C2D4|Yuki Moonwhisper|41|7|22300|Content|Refined|Traveling_Merchant|10102|art, wine, tradition|haste, vulgarity, disrespect|Elegant eastern trader who appreciates beauty and ceremony. Takes time with transactions and expects proper etiquette from business partners.
C1D2E3|David Ashford|52|2|3400|Angry|Vengeful|Ex_Partner|10103|solitude, stars, revenge|crowds, noise, forgiveness|Bitter former lover who broods on rooftops. Consumed by past betrayal and plots quietly against those who wronged him.
C1D2E4|Amara Sunfire|25|10|6700|Joyful|Romantic|Romantic_Interest|10103|flowers, poetry, moonlight|violence, cruelty, pessimism|Dreamy poet who finds beauty in fog. Believes in true love and sees wonder where others see only grey.
D1E2F3|Hassan Brightmind|38|6|31000|Tired|Logical|Healer|10201|medicine, learning, helping|ignorance, superstition, waste|Overworked physician treating endless plague victims. Values science over faith and struggles to maintain hope against overwhelming disease.
D1E2F4|Leo Swiftfoot|29|8|9500|Curious|Adventurous|Rogue|10201|games, secrets, thrill|rules, guards, boredom|Quick-witted thief who craves excitement. Can't resist a locked door or mysterious rumor even when danger looms.
D1E2F5|Nina Ironwill|33|7|18600|Confident|Assertive|Sellsword|10201|combat, challenge, respect|cowardice, weakness, excuses|Battle-hardened mercenary who commands respect through skill. Dismisses those who make excuses instead of taking action.
E1F2G3|Carlos Shadowhand|56|1|12000|Suspicious|Calculating|Guild_Spy|10202|secrets, blackmail, control|openness, trust, loyalty|Paranoid information broker who trusts no one. Sees conspiracies everywhere and hoards secrets as currency for survival.
E1F2G4|Priya Greenleaf|42|9|27400|Grateful|Nurturing|Herbalist|10202|plants, nature, healing|poison, destruction, fire|Gentle healer who loves all growing things. Thankful for every patient saved and mourns each wilted flower deeply.
F1G2H3|Thomas Goldweight|48|5|16800|Stressed|Ambitious|Merchant_Lord|10301|efficiency, profit, reputation|failure, delays, incompetence|High-strung nobleman obsessed with expanding trade empire. Every setback feels like impending ruin to his meticulous mind.
F1G2H4|Zara Nightingale|23|10|4200|Playful|Charismatic|Performer|10301|song, dance, attention|silence, gloom, rejection|Vivacious singer who lights up every room. Needs applause like others need air and wilts without admiration.
G1H2I3|Elara Stormborn|31|6|8900|Melancholy|Mysterious|Noble|10302|privacy, fine_wine, conspiracy|commoners, brightness, sincerity|Brooding aristocrat plotting in shadows. Finds truth exhausting and prefers the comfortable lies of political intrigue.
G1H2I4|Finn Quickblade|27|8|5600|Alert|Loyal|Bodyguard|10302|duty, combat, vigilance|treachery, distraction, peace|Watchful protector who never fully relaxes. Lives for duty and finds peacetime unsettling after years of constant danger.
H1I2J3|Isolde Ravenwood|39|4|14200|Wary|Cunning|Information_Broker|10401|secrets, coin, whispers|guards, loudmouths, honesty|Sharp-eyed dealer in whispered truths. Distrusts authority and those too honest for their own good in dangerous taverns.
H1I2J4|Garrett Steelhand|44|3|6700|Drunk|Reckless|Gambler|10401|dice, ale, risk|sobriety, caution, authority|Perpetually intoxicated risk-taker who bet away his smithy. Drowns regrets in ale and doubles down on every loss.
H1I2J5|Lysandra Nightshade|29|7|9800|Focused|Methodical|Thief|10401|jewels, shadows, freedom|chains, light, poverty|Cool-headed burglar who plans every heist meticulously. Values freedom above all and refuses to be trapped by circumstance.
I1J2K3|Rowan Darkwhisper|52|2|23400|Angry|Ruthless|Crime_Boss|10402|power, fear, loyalty|betrayal, weakness, law|Brutal gang leader who rules through terror. Sees mercy as weakness and demands absolute obedience from underlings.
